sample01	sample02	sample03	sample04	sample05	sample06	sample07	sample08	sample09	sample10
cg15560884	0.761000765137957	0.800783244001277	0.814040021552672	0.763001550564937	0.789458061229528	0.830847745559936	0.805435616639356	0.823827841885252	0.83513840682447	0.794058669532765
cg10037654	0.0476651916628008	0.0529046016923939	0.0698556023845624	0.0390437168200717	0.0793225632812158	0.0599145704791629	0.0418391293133827	0.063650522867327	0.0699578059000715	0.102895202187367
cg14057946	0.137092575769583	0.141839869195139	0.150432201464587	0.087265586726231	0.101346568727566	0.157960699097859	0.104664571615316	0.138686830400364	0.108725057495268	0.0887459645013502
cg11422233	0.111119573120196	0.102664793414817	0.167495142477828	0.0756142068973678	0.0998538039664477	0.122822215336939	0.106631628103492	0.125265682286458	0.0755235302744739	0.0848598396994173
cg16047670	0.0265419350625319	0.0281881212704776	0.0588571814173058	0.0245666028117108	0.0370878990199498	0.0570405032943761	0.0292603726398096	0.0330288721685766	0.0324995291862974	0.0359257045896932
cg18263059	0.03840840677774	0.0550315239116425	0.0601162513615737	0.0262202578632982	0.056881607872416	0.0421528793891846	0.0220163133428054	0.0267188655089311	0.031985997647437	0.0303496615355933
cg01014490	0.0385212419555616	0.0241150311937126	0.057793482822699	0.0257964712079886	0.018985065640503	0.043215531927259	0.0250892447703009	0.0244578257893308	0.0319330138372013	0.0459521439673878
cg04231937	0.0366613342677643	0.0334900117529862	0.0638079681570839	0.0277812310202977	0.0255049072720868	0.055272470691659	0.0329006339104665	0.0437872964236725	0.0324705928039845	0.0458310141159767
cg04496485	0.0503122440894544	0.0547533762680829	0.0989182402133249	0.0521579867598078	0.0418866108084614	0.0955000180570078	0.0520518275231739	0.0847177036727776	0.0566785510304069	0.0479733955177152
cg17505339	0.946488615904099	0.952607920641909	0.950484076286737	0.941312738343488	0.962549238974396	0.951923649266044	0.948192888535412	0.949242537662825	0.948058148938891	0.949049296674936
cg09989996	0.935202819610107	0.948143909839476	0.95993971744988	0.939339528251613	0.946353295315672	0.945939329941644	0.947051565013197	0.946089910705354	0.952122915768353	0.942099274988471
cg11954957	0.854410552744945	0.876465991703381	0.844607767648868	0.842397608602582	0.894854122135276	0.829821376509411	0.8658988258801	0.854304873800023	0.832751999048907	0.85927829985514
cg01068023	0.923646815657503	0.920556056555248	0.933756684646884	0.926452455826545	0.924502861465629	0.938993594241822	0.897839898686202	0.920280498361329	0.93340168274643	0.916261235105931
cg08167039	0.0316302118009566	0.0337682971913045	0.0430152361609195	0.0282342910264916	0.0311600481425799	0.0506168133914549	0.028920153589796	0.0397650814271744	0.0377272402811189	0.0357896863664156
cg20677962	0.0424901820622112	0.0358322579436167	0.0473937445375036	0.0376292553817534	0.0364407017035552	0.0465084343747766	0.0401363735522469	0.046776896388331	0.0446914610819444	0.0328737056558288
cg24699430	0.0188038924107392	0.0234140680060947	0.0329338668390178	0.0249072954449162	0.0198409099613498	0.034262544818731	0.0231274706986614	0.0244194932086177	0.0377916353866236	0.0217866635873721
cg01551879	0.0259910262135786	0.0281769502852067	0.0325591932672185	0.0240700221538002	0.0298032147135413	0.0380307260209525	0.0290640978066865	0.0308167572155936	0.0281032390261389	0.0294379132708882
cg22394869	0.0365591050831813	0.0392015569599351	0.0466757001849699	0.0352274539897528	0.0349809402746051	0.0438917746058219	0.0295704588425551	0.0398409029600028	0.0419743247395906	0.0339588632574999
cg02550592	0.0558868235668425	0.0485118748028974	0.0424315969673533	0.0253969051228438	0.043627940194147	0.0596536877911012	0.0377547232313412	0.0455631432494651	0.033400801259235	0.0389214666941602
cg03213877	0.035154402809157	0.0286901253991814	0.0594991393740704	0.0287919841985574	0.0233280737712275	0.0442910197626878	0.0357038368106536	0.0360576668787261	0.0453910251855544	0.0314578667668139
cg23803172	0.0212024056397899	0.021479762238831	0.030461344068641	0.0195446558060554	0.0173541231124788	0.0271530786134521	0.0215642914535796	0.0232445591407541	0.0217301974088213	0.0205041851150755
cg19411932	0.0203454736540936	0.0238253134024611	0.0277802891633593	0.0205236098573809	0.0183100168872348	0.0327752585705783	0.0197414108930128	0.0257301281350709	0.0283526783222677	0.0322705921095192
cg08939496	0.881648749439522	0.907748657612247	0.905565855805864	0.882208785875438	0.932792683483135	0.920863643293752	0.910978445708317	0.909466762209516	0.924560286250234	0.942271728887683
cg16736630	0.619097000006012	0.685208820481618	0.639200564992109	0.773367643348496	0.740160890931434	0.716033362167543	0.623813620489499	0.641622518987247	0.649055296381747	0.680199183501467
cg01793617	0.887232635274427	0.883693799191256	0.901335510751591	0.8836187116289	0.905541850540344	0.893767672737839	0.86938683252511	0.882590398392184	0.895022708078195	0.882239277694491
cg05662829	0.876168450977581	0.86530836132087	0.720644172264577	0.789036746638774	0.877728619941547	0.827747936643104	0.686605144355939	0.816996325712236	0.878296593835727	0.824055486025025
cg22714517	0.937470348232622	0.951405704595883	0.951728123703342	0.938575397058899	0.955870016702408	0.942861424908149	0.946285718859583	0.952821082091599	0.95401329910372	0.940660514770397
cg00168193	0.932028342488995	0.948130790837297	0.938739814764484	0.930514548863186	0.95438265440095	0.939029269858001	0.94144084870254	0.945251903220406	0.958834080246537	0.946763397285744
cg14280098	0.93468001355819	0.941915595714528	0.909943288007595	0.94023001766996	0.957980238889975	0.936034064307244	0.91737123783266	0.936364751188218	0.931301883756725	0.937961512824599
cg15903280	0.748116770873942	0.719817914747323	0.79754481485915	0.677389878025332	0.791129867256112	0.706218725618832	0.773715289867203	0.733127051786726	0.717373418295376	0.74802415241382
cg04352959	0.917887808850305	0.927499922987065	0.935103480882907	0.88480450074585	0.921642561736906	0.920168401321872	0.897565561904446	0.925101159080524	0.917544786120691	0.907970190603318
cg08258224	0.906804192837887	0.858744734702623	0.885482968086591	0.823083388249447	0.872971382503369	0.889892305562426	0.865900278339028	0.899780724288374	0.878949602457189	0.884364499279659
cg12285627	0.784058283902791	0.72567557751757	0.719024769111344	0.720375824582788	0.721193849739152	0.748486802704917	0.680657036188576	0.757736285969962	0.746976381720097	0.7151162058703
cg05898754	0.22869383608366	0.28968369118829	0.340710138044437	0.249220745000302	0.351292850013318	0.264207433901476	0.194863478698497	0.222513945392867	0.212426460460274	0.251774809994901
cg03128332	0.349230682642867	0.384847684943143	0.265973206561997	0.319443663974316	0.369119704734344	0.304944449579686	0.214580229787363	0.32236542455418	0.307970862023653	0.23401872035707
cg15994267	0.470763131768115	0.492102287014653	0.478197368968822	0.460540664113983	0.528423873061812	0.473455253163328	0.426029563095098	0.473006690304204	0.434818009485724	0.439146031621987
cg16619049	0.499722462469648	0.660860099384301	0.471793868014151	0.545400627697609	0.607218166884336	0.529487100178201	0.525791839206216	0.506310596160602	0.451294771140298	0.503766102682103
cg20275697	0.891079079445672	0.925149706134463	0.93005825447719	0.834771685977749	0.920374663926619	0.915984950681192	0.912008221806651	0.916213778374111	0.923816803935504	0.922835458587591
cg05475702	0.817305485337414	0.828467156362588	0.836100765896897	0.75142506161113	0.871119483654555	0.820197401247876	0.798038951121369	0.81024824667209	0.818400505868414	0.798305967994288
cg18147296	0.925239510331682	0.937233915571867	0.925652066633701	0.855488127875603	0.921966302225499	0.917900057590549	0.889282188594613	0.919652389436673	0.923636226322125	0.925189795893561
cg05597748	0.877996021979947	0.91092791964542	0.90007256763701	0.869966052311317	0.903828640526084	0.900103706877368	0.884335118600971	0.897151244932512	0.905722441784274	0.895586003476747
cg00111697	0.876984058006041	0.871732798748345	0.86315854914972	0.835675220775673	0.892667789524491	0.885635558928589	0.863825848222145	0.881935316671955	0.864571417669263	0.867419686645862
cg10988531	0.843768508202657	0.856653480039766	0.883558765869708	0.804667880696509	0.853546145552929	0.887637072654093	0.887057323022666	0.879894069262431	0.859589618480273	0.86014864847769
cg24373735	0.919965276751966	0.919043689587262	0.928807284629719	0.877121032869188	0.932969338943785	0.905584215068565	0.917750777233002	0.90829867939049	0.926589588211192	0.911398942369231
cg13938959	0.730788725722499	0.722992430907207	0.791351809597692	0.80554476611605	0.768509119545439	0.763797332534466	0.736813339278398	0.744872894962194	0.88334408330583	0.803229625338063
cg12445832	0.491793194498269	0.565481804519814	0.625318403245432	0.435342615409274	0.516980291661541	0.587375926712385	0.545401382252218	0.512803079387626	0.591310169047691	0.523938479961843
cg23999112	0.753466377264049	0.812132243275092	0.873730301251177	0.700016723583456	0.804058175352096	0.778750393727047	0.811515143730831	0.794170989750656	0.83368839048944	0.825263202722259
cg11527153	0.885867024377664	0.905719907050937	0.90819519971541	0.858049242819491	0.929551859673219	0.896272519061766	0.879707717853312	0.914899993068253	0.892269421720843	0.920883961035395
cg27573606	0.953009793221678	0.961458646038741	0.964050962808791	0.952110500884273	0.96168160909526	0.952291714603421	0.9520247075854	0.957459444434224	0.949844275948065	0.952533560757525
cg04195702	0.924313316193969	0.926579069782078	0.92622187140554	0.880359564115486	0.933214665200872	0.916005389837864	0.906965491050682	0.908446641086814	0.924851377548903	0.908802626916998
cg08128007	0.90711793937837	0.919247859580087	0.944470150275932	0.833143945959914	0.925472985809526	0.905004918605486	0.919311710118689	0.883300699344878	0.854793576680443	0.897369011119494
cg23733394	0.446820695704338	0.854823265501152	0.604279023072659	0.0435763690178254	0.708660323688692	0.651918173245414	0.766966539340656	0.250776525750314	0.0635057606788356	0.569700341760015
cg13371836	0.0270695874158603	0.0220316779631243	0.0310395575616467	0.0319044710179361	0.0277133845571882	0.0334450962302864	0.0266807210642077	0.0264538877557499	0.0294855150989328	0.028659462811146
cg04407431	0.0280049693988513	0.0221479933272538	0.0293606566856532	0.0277069840549906	0.0286816775600278	0.0275095433626508	0.0241812865264453	0.0257927306845058	0.0264163200501592	0.0237376758845815
cg13565718	0.927167944204315	0.921118207635598	0.922353461943098	0.910674834564196	0.912348933368103	0.921278364576884	0.902942038458211	0.92012298051701	0.915686335496557	0.909173722478159
cg01097950	0.827890076348066	0.875790805412118	0.851606072738644	0.725129749933272	0.85523493915157	0.845053782387666	0.823835152414962	0.850267355857552	0.871816982054242	0.849027231222984
cg08900511	0.883281839444599	0.885873094733767	0.900441150272733	0.89101523535418	0.921114721121473	0.881568975595737	0.876733881580322	0.854116710387734	0.927957475100565	0.891434165065653
cg04410003	0.92637164007802	0.938485093335773	0.951911299593605	0.919293605252263	0.951725947748818	0.916819333042476	0.933054381034347	0.920544121542925	0.938601994636355	0.909043866514187
cg18762746	0.96863347502239	0.963582275540512	0.973207567800659	0.947746901651186	0.972920319261561	0.951148861742543	0.958714649234669	0.968554267749855	0.971243963043819	0.967199666454131
cg04364728	0.39487469026018	0.485874689871894	0.521282121653713	0.524090665554218	0.573708014344617	0.38072421598844	0.534586227407883	0.367060558141819	0.560359250129066	0.491669711192317
cg05151709	0.605846749506319	0.594403009951411	0.618518153860031	0.615906921877679	0.63421448881003	0.52178744880845	0.593357444726502	0.539685190946596	0.658739937753884	0.606539554235475
cg08546707	0.764622884562701	0.796582067101633	0.814492798814147	0.790242958594249	0.824819768776806	0.767547482046146	0.790510829280026	0.731491827315149	0.848861978488725	0.76163169276976
cg06154531	0.88142382514023	0.925434282038608	0.900328922480121	0.838712141502938	0.930880997323288	0.87562012617683	0.876492443018586	0.910052605354569	0.922073087033302	0.92887024182791
cg01782097	0.579148130145937	0.662017201275447	0.588412010098181	0.620247405004731	0.637266475279762	0.587769209107065	0.619093411972592	0.630105563815212	0.59903842354286	0.602890062489225
cg20825023	0.560574783660484	0.622000072426399	0.640849628940605	0.538603986618028	0.654859374337471	0.589691445445735	0.616848344202465	0.586016259224403	0.565094284822664	0.550655088196696
cg12549180	0.738901811489115	0.746394301939124	0.747553498310683	0.712925977385706	0.800239030218689	0.741515284254662	0.684473471607205	0.705442299242924	0.767060789263304	0.721121244036575
cg11851804	0.0730200006003214	0.0592538782274663	0.0825222337736073	0.110029429878387	0.0643977725575475	0.0812794434371079	0.178128821283205	0.0984280721458187	0.079417013227288	0.061110938236874
cg06623778	0.265206138809456	0.193802841862914	0.231523269552948	0.230903128641162	0.20469013722533	0.25042886608752	0.33815493027559	0.252904265395822	0.234917635428427	0.186458808453143
cg14528386	0.395957803202846	0.352669224925453	0.366589257161381	0.412218920729691	0.27269355685399	0.344596523371583	0.439327837604478	0.361166441351251	0.39396902232948	0.287419005932423
