IlmnID,CHR,MAPINFO,UCSC_RefGene_Name,UCSC_RefGene_Accession,UCSC_RefGene_Group,Relation_to_UCSC_CpG_Island,Regulatory_Feature_Group,coef,pval,r2,pcc,fdr_bh,bonferroni
cg22930808,3,122281881,PARP9;PARP9;DTX3L;PARP9;PARP9;PARP9;PARP9,NM_001146106;NM_001146104;NM_138287;NM_031458;NM_001146103;NM_001146105;NM_001146102,5'UTR;5'UTR;TSS1500;5'UTR;5'UTR;5'UTR;5'UTR,N_Shore,,0.9998635576958979,1.4404048880962562e-07,0.21128688670039586,0.16019007455546308,0.00569494190065606,0.06264436090721666
cg01534253,7,28447591,CREB5,NM_182899,5'UTR,N_Shore,,1.096866013765214,2.418754005773612e-07,0.21061709304872334,0.174856801740293,0.008091811285715308,0.10519354671429901
cg21184711,7,122488330,CADPS2;CADPS2;CADPS2,NM_001009571;NM_001167940;NM_017954,Body;Body;Body,,,1.1220853799027108,2.2628022762757168e-07,0.21070320555042454,0.17576013361703371,0.008091811285715308,0.09841108123705194
cg22764782,8,94831797,,,,,,1.073444449089879,3.851726338621377e-07,0.21001606247397508,0.17111381348402205,0.011965332846265326,0.16751465984771458
cg04335815,8,11417517,BLK,NM_001715,Body,N_Shelf,,0.9616068058767235,6.129548872770648e-07,0.2094161276225125,0.15367799081468425,0.015137839031479049,0.2665789841158937
cg12484808,8,70494000,SULF1;SULF1;SULF1;SULF1,NM_001128204;NM_015170;NM_001128205;NM_001128206,Body;Body;Body;Body,,,1.119280988007672,5.614297345213483e-07,0.20952948954136297,0.17893737876496518,0.015137839031479049,0.24417028298121052
cg18047172,7,50670059,GRB10;GRB10;GRB10;GRB10,NM_001001550;NM_001001549;NM_001001555;NM_005311,Body;Body;Body;Body,,,0.9505635193137915,5.633363306969235e-07,0.2095251123643488,0.15229845890337362,0.015137839031479049,0.24499947691073762
cg19754180,5,1362700,,,,,,0.9318041985374707,6.265258458492897e-07,0.20938785643938496,0.14999430199679287,0.015137839031479049,0.2724811025666229
cg01647632,15,89438905,HAPLN3,NM_178232,TSS200,S_Shore,Promoter_Associated,0.9295080356119281,8.037651806154941e-07,0.20906629139598887,0.14810400538974508,0.01588926850777833,0.3495639071711233
cg08612539,22,37257124,NCF4;NCF4;NCF4;NCF4,NM_000631;NM_013416;NM_013416;NM_000631,5'UTR;1stExon;5'UTR;1stExon,,Promoter_Associated,1.370998755501573,7.960067945744441e-07,0.20907881002008377,0.21310905907198366,0.01588926850777833,0.34618972301478235
cg09333584,6,33788925,,,,,,1.7294078065083234,7.804302425664742e-07,0.2091043168049418,0.2661067219785981,0.01588926850777833,0.33941535593410016
cg24518943,6,71123805,FAM135A;FAM135A,NM_020819;NM_001105531,5'UTR;5'UTR,Island,,1.009329507823241,7.259970991673173e-07,0.20919763639289535,0.15855788997189393,0.01588926850777833,0.31574194640465963
cg13591783,9,75768868,ANXA1,NM_000700,5'UTR,,,1.5387046022237545,9.860699774013162e-07,0.2088024874073937,0.2383257346998879,0.0186456400752892,0.4288497217316516
cg02214188,4,104020949,BDH2;BDH2,NM_020139;NM_020139,1stExon;5'UTR,,Promoter_Associated,1.2152735104435046,1.2314285823370733e-06,0.2085158072101868,0.19225071894694645,0.021422325675482076,0.5355581418870519
cg18334849,4,90815958,MMRN1,NM_007351,TSS200,,Unclassified_Cell_type_specific,1.3297792604212004,1.2120877784774536e-06,0.20853622885334733,0.21013814856394994,0.021422325675482076,0.5271466715620724
cg25187161,1,29510025,SFRS4,NM_005626,TSS1500,S_Shore,,1.261891926441096,1.399276474699251e-06,0.20835098483823367,0.196654244532143,0.02340602050225007,0.6085565330585019
cg13491023,1,109621995,,,,S_Shelf,,1.1047705581166083,1.5301499383329217e-06,0.2082356719854085,0.17603406377026037,0.023766944620731936,0.6654744493804943
cg26982829,17,29335153,,,,N_Shore,Promoter_Associated_Cell_type_specific,0.9309025821059138,1.4867089294313125e-06,0.20827281495587335,0.14648098335954177,0.023766944620731936,0.6465816070811132
cg18991242,7,154722142,LOC100132707;LOC100132707,NR_024476;NR_024477,Body;Body,,,0.9175558687075139,1.9632320993052416e-06,0.2079143200668222,0.14629398487366002,0.029442253304987724,0.853825345844644
cg04111435,11,63448455,RTN3;RTN3;RTN3;RTN3,NM_201428;NM_201430;NM_201429;NM_006054,TSS1500;TSS1500;TSS1500;TSS1500,N_Shore,Promoter_Associated,1.417954515699001,2.2429568518383227e-06,0.2077426169098502,0.22022798948555303,0.02968219504703632,0.9754798785193013
cg07846885,16,22959005,,,,N_Shore,,0.9670242312056794,2.32047842669998e-06,0.2076988232417375,0.15415949759986056,0.02968219504703632,1.0
cg10761425,3,12988976,IQSEC1;IQSEC1,NM_001134382;NM_014869,Body;Body,,Promoter_Associated_Cell_type_specific,-0.9552191851684997,2.278266302062976e-06,0.2077224848171466,-0.1516631529526276,0.02968219504703632,0.9908362408976047
cg13948857,5,131763756,C5orf56,NM_001013717,Body,,,1.7437172791026967,2.2613755281215634e-06,0.20773207600233812,0.2670303362802391,0.02968219504703632,0.983490308184293
cg25919221,1,9006680,CA6,NM_001215,Body,,Unclassified_Cell_type_specific,1.1494486069480003,2.204493500147417e-06,0.20776491168169564,0.18094674130324312,0.02968219504703632,0.9587518591621129
cg26803216,1,193029757,TROVE2;TROVE2;UCHL5;TROVE2,NM_001042369;NM_004600;NM_015984;NM_001042370,5'UTR;5'UTR;TSS1500;5'UTR,S_Shore,Promoter_Associated_Cell_type_specific,1.659777857324232,2.7011743307751126e-06,0.2075030559042833,0.2583642654933345,0.03356463788139265,1.0
cg01821751,17,56071745,,,,,,1.0056730845906967,3.7507610192568635e-06,0.2070801892185442,0.16012860399679474,0.04215211598703866,1.0
cg03145994,20,60528916,MIR1257,NR_031658,TSS200,,,0.8401059604667438,3.77995466511195e-06,0.20707020475482252,0.135158909246763,0.04215211598703866,1.0
cg22043634,8,144798336,MAPK15,NM_139021,TSS200,N_Shore,Unclassified,-0.9423606874011868,3.6116825193904215e-06,0.20712884989834335,-0.1502107964838088,0.04215211598703866,1.0
cg25248213,11,94888121,,,,S_Shelf,Promoter_Associated,0.9669157535443988,3.6219108178531703e-06,0.20712520779859966,0.15332883166974579,0.04215211598703866,1.0
cg00777079,17,1666607,SERPINF1,NM_002615,5'UTR,,,0.8632465466580443,4.153842660907094e-06,0.20694875076572716,0.13792657458628785,0.04516348509924455,1.0
cg12082302,1,6421246,ACOT7;ACOT7;ACOT7,NM_181864;NM_181865;NM_007274,Body;TSS1500;Body,,,0.8822865192187763,4.354312105165346e-06,0.2068880680302294,0.1401631469830289,0.04613972869728173,1.0
cg17373644,5,1806786,NDUFS6,NM_004553,Body,,,0.8296277075555041,4.455812735764421e-06,0.2068584027267104,0.13399577683497751,0.04613972869728173,1.0
cg06899522,1,9355438,SPSB1,NM_025106,5'UTR,,,0.8574022471273727,4.6246932155214305e-06,0.20681051357166702,0.13662421182145212,0.04677479248781383,1.0
cg00974149,17,56296512,MKS1;MKS1,NM_017777;NM_001165927,1stExon;Body,Island,Promoter_Associated,0.873198463169723,7.982214842876536e-06,0.2061083045726999,0.13931425389093574,0.04860103146393413,1.0
cg02448743,10,102824003,KAZALD1,NM_030929,Body,N_Shore,,0.8535666891833711,7.837886064655346e-06,0.20613176659563248,0.1367279837986389,0.04860103146393413,1.0
cg02612007,8,103876471,AZIN1;AZIN1,NM_015878;NM_148174,TSS200;TSS200,Island,Promoter_Associated,0.8383988278528924,7.223901294992224e-06,0.20623666783910155,0.1328524355045291,0.04860103146393413,1.0
cg03739354,1,212839040,,,,,Unclassified,1.260951517687606,7.902202466809873e-06,0.2061212583139267,0.19946351350819894,0.04860103146393413,1.0
cg04953732,10,114709946,TCF7L2;TCF7L2;TCF7L2;TCF7L2;TCF7L2;TCF7L2,NM_001146274;NM_001146284;NM_001146283;NM_001146285;NM_001146286;NM_030756,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,N_Shelf,Promoter_Associated_Cell_type_specific,1.2234552293797338,6.039077064035353e-06,0.20646710671223756,0.19412560126790704,0.04860103146393413,1.0
cg08944940,1,39643664,MACF1,NM_012090,Body,,,0.8968679520986035,5.619307104297713e-06,0.2065598026383293,0.14165651407463525,0.04860103146393413,1.0
cg09256617,11,44587148,CD82;CD82;CD82;CD82,NM_002231;NM_001024844;NM_001024844;NM_002231,5'UTR;1stExon;5'UTR;1stExon,Island,Promoter_Associated,0.8626249982558201,8.10714207044986e-06,0.20608833723964415,0.13740952821764713,0.04860103146393413,1.0
cg09458420,2,231661317,CAB39;CAB39;CAB39,NM_001130850;NM_016289;NM_001130849,Body;Body;Body,,,0.9338883482605713,6.9300855024826445e-06,0.20629007226655605,0.14783142436615385,0.04860103146393413,1.0
cg10099709,14,70721864,,,,,,0.8432547814544287,7.75502513367529e-06,0.20614543288812504,0.1330139908596045,0.04860103146393413,1.0
cg10580144,2,61372316,C2orf74;C2orf74,NM_001143960;NM_001143960,5'UTR;1stExon,,Promoter_Associated,1.1453774049041248,7.940809820895323e-06,0.20611499157809676,0.18196511116381256,0.04860103146393413,1.0
cg10927461,2,122530159,,,,,,1.8128285047006951,5.33867327516304e-06,0.2066257290936916,0.27553764328673314,0.04860103146393413,1.0
cg10936879,10,74397277,,,,,,1.415723615292075,7.513659103941804e-06,0.2061860917794458,0.21907462172741693,0.04860103146393413,1.0
cg11161440,1,160041446,KCNJ10,NM_002241,TSS1500,S_Shore,,0.8316219960384574,8.269510628296389e-06,0.20606284157952248,0.1340729725269244,0.04860103146393413,1.0
cg13479358,6,28603052,,,,Island,,0.9008513839242764,6.467847950737488e-06,0.20637886367471092,0.1421211905590491,0.04860103146393413,1.0
cg14403169,12,97239532,,,,,,0.9703219424235068,7.473270376161794e-06,0.20619302302869014,0.15429540740519898,0.04860103146393413,1.0
cg15989436,5,150465875,,,,,,1.1903414195219757,6.153247586830711e-06,0.2064430110603107,0.1854398897055496,0.04860103146393413,1.0
cg16103996,7,34214897,,,,,,0.8604166224402424,8.025922295616868e-06,0.20610128333432454,0.1367041214596788,0.04860103146393413,1.0
cg16906733,19,9941989,,,,N_Shelf,,0.8566137273893978,5.13328556551199e-06,0.20667621817292792,0.1376531576219703,0.04860103146393413,1.0
cg18491744,8,41580834,ANK1;ANK1;ANK1;ANK1;ANK1,NM_020476;NM_020475;NM_001142446;NM_020477;NM_000037,Body;Body;Body;Body;Body,N_Shelf,,0.8331304418323976,5.6382021007971496e-06,0.20655548311516259,0.13360316469209513,0.04860103146393413,1.0
cg18698399,5,125939337,PHAX,NM_032177,Body,S_Shelf,,0.8714653793608219,8.120499182713831e-06,0.20608622062585913,0.13680669525474354,0.04860103146393413,1.0
cg21573651,14,38681111,SSTR1,NM_001049,3'UTR,S_Shore,,0.8940888619042814,5.038158377993654e-06,0.2067002925614162,0.14262988602167753,0.04860103146393413,1.0
cg22201516,19,32715740,,,,Island,Unclassified,1.149207756485827,7.425709791362888e-06,0.206201233362589,0.18290777506539385,0.04860103146393413,1.0
cg22398226,4,155662217,,,,N_Shore,,1.0503539656187886,6.063587877587759e-06,0.20646189545437277,0.16633676137360898,0.04860103146393413,1.0
cg22971191,13,103719706,SLC10A2,NM_000452,TSS1500,,,0.8642591334445243,6.884761164019153e-06,0.20629851199571192,0.13688552558938558,0.04860103146393413,1.0
cg23676314,17,1835482,,,,N_Shelf,,-0.823235930203038,6.093537448448935e-06,0.20645555644016989,-0.1319011176807786,0.04860103146393413,1.0
cg25266888,11,2482594,KCNQ1;KCNQ1,NM_000218;NM_181798,Body;TSS200,,,0.8552031997045312,5.8908052007722135e-06,0.206499090023042,0.13686201207284593,0.04860103146393413,1.0
cg25381747,10,115425899,,,,,,0.8936318679018664,8.24311370061165e-06,0.20606695217314241,0.14342788884705154,0.04860103146393413,1.0
cg26137350,2,190035925,COL5A2,NM_000393,Body,,,0.9284299354254375,5.3652500893293855e-06,0.20661933856768044,0.1453526058656409,0.04860103146393413,1.0
cg26322816,3,27760732,EOMES,NM_005442,Body,N_Shore,,0.8633982637024328,7.335876435947517e-06,0.20621688600588173,0.13875714111904813,0.04860103146393413,1.0
cg26557756,7,42278096,GLI3,NM_000168,TSS1500,S_Shore,,0.8671226947067077,5.9583336211277775e-06,0.20648442478508133,0.1356249188052268,0.04860103146393413,1.0
cg26781886,5,49737336,EMB,NM_198449,TSS200,S_Shore,Promoter_Associated_Cell_type_specific,0.9521605839030853,6.7083801758228e-06,0.20633189406982377,0.14935756967260058,0.04860103146393413,1.0
